Date,Country,Exchange rate
1972-10-17,Japan,301.11
1972-10-18,Japan,301.11
1972-10-19,Japan,301.02
1972-10-20,Japan,300.75
1972-10-23,Japan,
1972-10-24,Japan,301.02
1972-10-25,Japan,301.20
1972-10-26,Japan,300.84
1972-10-27,Japan,300.48
1972-10-30,Japan,301.02
1972-10-31,Japan,301.11
1972-11-01,Japan,301.02
1972-11-02,Japan,300.66
1972-11-03,Japan,299.94
1972-11-06,Japan,301.02
1972-11-07,Japan,
1972-11-08,Japan,301.02
1972-11-09,Japan,301.02
1972-11-10,Japan,300.93
1972-11-13,Japan,301.02
1972-11-14,Japan,301.02
1972-11-15,Japan,301.11
1972-11-16,Japan,301.11
1972-11-17,Japan,301.02
1972-11-20,Japan,301.11
1972-11-21,Japan,301.11
1972-11-22,Japan,301.11
1972-11-23,Japan,
1972-11-24,Japan,301.02
1972-11-27,Japan,301.11
1972-11-28,Japan,301.20
1972-11-29,Japan,301.11
1972-11-30,Japan,301.11
1972-12-01,Japan,301.11
1972-12-04,Japan,301.11
1972-12-05,Japan,301.11
1972-12-06,Japan,301.11
1972-12-07,Japan,301.11
1972-12-08,Japan,301.11
1972-12-11,Japan,301.07
1972-12-12,Japan,301.11
1972-12-13,Japan,301.11
1972-12-14,Japan,301.11
1972-12-15,Japan,301.11
1972-12-18,Japan,301.11
1972-12-19,Japan,301.11
1972-12-20,Japan,301.11
1972-12-21,Japan,301.11
1972-12-22,Japan,301.11
1972-12-25,Japan,
1972-12-26,Japan,301.39
1972-12-27,Japan,302.02
1972-12-28,Japan,302.02
1972-12-29,Japan,301.66
1973-01-01,Japan,
1973-01-02,Japan,301.39
1973-01-03,Japan,301.43
1973-01-04,Japan,301.20
1973-01-05,Japan,301.30
1973-01-08,Japan,302.21
1973-01-09,Japan,302.07
1973-01-10,Japan,301.84
1973-01-11,Japan,301.48
1973-01-12,Japan,301.66
1973-01-15,Japan,301.66
1973-01-16,Japan,301.93
1973-01-17,Japan,302.11
1973-01-18,Japan,302.21
1973-01-19,Japan,302.57
1973-01-22,Japan,302.48
1973-01-23,Japan,301.66
1973-01-24,Japan,302.11
1973-01-25,Japan,301.84
1973-01-26,Japan,301.75
1973-01-29,Japan,301.66
1973-01-30,Japan,301.39
1973-01-31,Japan,301.39
1973-02-01,Japan,300.93
1973-02-02,Japan,299.58
1973-02-05,Japan,300.75
1973-02-06,Japan,299.85
1973-02-07,Japan,299.85
1973-02-08,Japan,299.40
1973-02-09,Japan,293.26
1973-02-12,Japan,
1973-02-13,Japan,266.67
1973-02-14,Japan,265.96
1973-02-15,Japan,263.02
1973-02-16,Japan,263.85
1973-02-19,Japan,
1973-02-20,Japan,265.96
1973-02-21,Japan,264.90
1973-02-22,Japan,265.46
1973-02-23,Japan,264.90
1973-02-26,Japan,265.60
1973-02-27,Japan,265.96
1973-02-28,Japan,265.67
1973-03-01,Japan,265.60
1973-03-02,Japan,262.12
1973-03-05,Japan,259.07
1973-03-06,Japan,261.78
1973-03-07,Japan,261.92
